Symbol,Company Name,Prediction Horizon (Years),As Of Date,Predicted Total Return (%),Predicted CAGR (%),Annualized Volatility (%),Latest P/E Ratio,Latest Beta,Composite Risk Score,Risk Band (Composite),Risk Band (Volatility Only),Conservative Band,Expected Band,Optimistic Band
FDC.NS,FDC Limited,1,18-06-2025,29.05,29.05,32,28.61,-0.06,0.3367,Medium,High,28.05% – 29.05%,30.05% – 32.05%,33.05% – 37.05%
BHANDARI.NS,Bhandari Hosiery Exports Limited,1,18-06-2025,29.02,29.02,48.06,17.09,0.67,0.4324,Medium,High,28.02% – 29.02%,30.02% – 32.02%,33.02% – 37.02%
CRISIL.NS,CRISIL Limited,1,18-06-2025,28.96,28.96,36.16,58.23,-0.12,0.5616,Medium,High,27.96% – 28.96%,29.96% – 31.96%,32.96% – 36.96%
MENONBE.NS,Menon Bearings Limited,1,18-06-2025,28.84,28.84,41.62,26.83,-0.18,0.4176,Medium,High,27.84% – 28.84%,29.84% – 31.84%,32.84% – 36.84%
PFC.NS,Power Finance Corporation Limited,1,18-06-2025,28.82,28.82,38.64,5.71,0.68,0.4722,Medium,High,27.82% – 28.82%,29.82% – 31.82%,32.82% – 36.82%
TARMAT.NS,Tarmat Limited,1,18-06-2025,28.47,28.47,46.14,90.75,0.52,0.6652,High,High,27.47% – 28.47%,29.47% – 31.47%,32.47% – 36.47%
PAR.NS,Par Drugs and Chemicals Limited,1,18-06-2025,28.46,28.46,59.41,8.96,-0.36,0.55,Medium,High,27.46% – 28.46%,29.46% – 31.46%,32.46% – 36.46%
BAJAJ-AUTO.NS,Bajaj Auto Limited,1,18-06-2025,28.1,28.1,28.89,32.44,0.8,0.3992,Medium,Medium,27.1% – 28.1%,29.1% – 31.1%,32.1% – 36.1%
GNFC.NS,Gujarat Narmada Valley Fertilizers & Chemicals Limited,1,18-06-2025,28.1,28.1,34.64,13.05,-0.14,0.2464,Low,High,27.1% – 28.1%,29.1% – 31.1%,32.1% – 36.1%
KAKATCEM.NS,Kakatiya Cement Sugar and Industries Limited,1,18-06-2025,27.93,27.93,37.33,,0.22,,Unknown,High,26.93% – 27.93%,28.93% – 30.93%,31.93% – 35.93%
BERGEPAINT.NS,Berger Paints India Limited,1,18-06-2025,27.9,27.9,24.63,55.16,0.49,0.4463,Medium,Medium,26.9% – 27.9%,28.9% – 30.9%,31.9% – 35.9%
VEEDOL.NS,Veedol Corporation Limited,1,18-06-2025,27.69,27.69,37.13,16.86,0.46,0.2872,Low,High,26.69% – 27.69%,28.69% – 30.69%,31.69% – 35.69%
KSB.NS,KSB Limited,1,18-06-2025,27.47,27.47,31.09,57.34,-0.03,0.5109,Medium,High,26.47% – 27.47%,28.47% – 30.47%,31.47% – 35.47%
AARVI.NS,Aarvi Encon Limited,1,18-06-2025,27.35,27.35,40.48,16.31,0.09,0.316,Medium,High,26.35% – 27.35%,28.35% – 30.35%,31.35% – 35.35%
INDOTECH.NS,Indo Tech Transformers Limited,1,18-06-2025,27.29,27.29,60.6,33.97,-0.42,0.5626,Medium,High,26.29% – 27.29%,28.29% – 30.29%,31.29% – 35.29%
INFOBEAN.NS,InfoBeans Technologies Limited,1,18-06-2025,27.22,27.22,43.76,24.53,0,0.4193,Medium,High,26.22% – 27.22%,28.22% – 30.22%,31.22% – 35.22%
BANKA.NS,Banka BioLoo Limited,1,18-06-2025,27.15,27.15,56.72,,0.71,,Unknown,High,26.15% – 27.15%,28.15% – 30.15%,31.15% – 35.15%
ACL.NS,Andhra Cements Limited,1,18-06-2025,26.95,26.95,35.73,,-0.06,,Unknown,High,25.95% – 26.95%,27.95% – 29.95%,30.95% – 34.95%
TIRUPATIFL.NS,Tirupati Forge Limited,1,18-06-2025,26.84,26.84,58.02,55.81,-0.42,0.7,High,High,25.84% – 26.84%,27.84% – 29.84%,30.84% – 34.84%
COUNCODOS.NS,Country Condo's Limited,1,18-06-2025,26.76,26.76,64.17,84,0.44,0.7,High,High,25.76% – 26.76%,27.76% – 29.76%,30.76% – 34.76%
DOLLAR.NS,Dollar Industries Limited,1,18-06-2025,26.69,26.69,37.6,23.91,0.3,0.3524,Medium,High,25.69% – 26.69%,27.69% – 29.69%,30.69% – 34.69%
CONFIPET.NS,Confidence Petroleum India Limited,1,18-06-2025,26.67,26.67,44.1,22.46,0.8,0.4647,Medium,High,25.67% – 26.67%,27.67% – 29.67%,30.67% – 34.67%
AVADHSUGAR.NS,Avadh Sugar & Energy Limited,1,18-06-2025,26.65,26.65,45.66,11.38,0.37,0.3566,Medium,High,25.65% – 26.65%,27.65% – 29.65%,30.65% – 34.65%
COROMANDEL.NS,Coromandel International Limited,1,18-06-2025,26.58,26.58,30.98,32.94,0.23,0.3635,Medium,High,25.58% – 26.58%,27.58% – 29.58%,30.58% – 34.58%
ALICON.NS,Alicon Castalloy Limited,1,18-06-2025,26.57,26.57,44.29,30.68,0.38,0.4773,Medium,High,25.57% – 26.57%,27.57% – 29.57%,30.57% – 34.57%
NHPC.NS,NHPC Limited,1,18-06-2025,26.48,26.48,31.57,30.42,0.23,0.3478,Medium,High,25.48% – 26.48%,27.48% – 29.48%,30.48% – 34.48%
SJVN.NS,SJVN Limited,1,18-06-2025,26.17,26.17,38.38,46.32,0.39,0.5523,Medium,High,25.17% – 26.17%,27.17% – 29.17%,30.17% – 34.17%
VOLTAMP.NS,Voltamp Transformers Limited,1,18-06-2025,26.16,26.16,55.52,27.11,-0.2,0.5038,Medium,High,25.16% – 26.16%,27.16% – 29.16%,30.16% – 34.16%
AAKASH.NS,Aakash Exploration Services Limited,1,18-06-2025,25.91,25.91,47.82,1.61,0.46,0.5282,Medium,High,24.91% – 25.91%,26.91% – 28.91%,29.91% – 33.91%
PCBL.NS,PCBL Chemical Limited,1,18-06-2025,25.86,25.86,46.59,33.88,0.49,0.5278,Medium,High,24.86% – 25.86%,26.86% – 28.86%,29.86% – 33.86%
VSSL.NS,Vardhman Special Steels Limited,1,18-06-2025,25.84,25.84,42.99,21.9,0.49,0.3891,Medium,High,24.84% – 25.84%,26.84% – 28.84%,29.84% – 33.84%
HIKAL.NS,Hikal Limited,1,18-06-2025,25.82,25.82,44.34,49.78,0.63,0.6683,High,High,24.82% – 25.82%,26.82% – 28.82%,29.82% – 33.82%
PRAXIS.NS,Praxis Home Retail Limited,1,18-06-2025,25.61,25.61,49.43,,0.59,,Unknown,High,24.61% – 25.61%,26.61% – 28.61%,29.61% – 33.61%
JINDALSTEL.NS,Jindal Steel & Power Limited,1,18-06-2025,25.6,25.6,30.19,32.18,0.85,0.4193,Medium,High,24.6% – 25.6%,26.6% – 28.6%,29.6% – 33.6%
BANSWRAS.NS,Banswara Syntex Limited,1,18-06-2025,25.49,25.49,41.25,21.56,0.26,0.3687,Medium,High,24.49% – 25.49%,26.49% – 28.49%,29.49% – 33.49%
ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,1,18-06-2025,25.31,25.31,32.81,53.19,0.58,0.5435,Medium,High,24.31% – 25.31%,26.31% – 28.31%,29.31% – 33.31%
VISASTEEL.NS,VISA Steel Limited,1,18-06-2025,25.31,25.31,45.86,,0.67,,Unknown,High,24.31% – 25.31%,26.31% – 28.31%,29.31% – 33.31%
IGL.NS,Indraprastha Gas Limited,1,18-06-2025,25.3,25.3,41.13,16.9,0.53,0.3342,Medium,High,24.3% – 25.3%,26.3% – 28.3%,29.3% – 33.3%
GREENLAM.NS,Greenlam Industries Limited,1,18-06-2025,25.21,25.21,40.8,88.07,0.26,0.608,High,High,24.21% – 25.21%,26.21% – 28.21%,29.21% – 33.21%
RKEC.NS,RKEC Projects Limited,1,18-06-2025,25.21,25.21,53.21,9.46,0.78,0.6068,High,High,24.21% – 25.21%,26.21% – 28.21%,29.21% – 33.21%
ARVIND.NS,Arvind Limited,1,18-06-2025,25.13,25.13,44.31,25.07,-0.07,0.4294,Medium,High,24.13% – 25.13%,26.13% – 28.13%,29.13% – 33.13%
TATAMOTORS.NS,Tata Motors Limited,1,18-06-2025,24.86,24.86,31.91,10.38,1.15,0.3485,Medium,High,23.86% – 24.86%,25.86% – 27.86%,28.86% – 32.86%
A2ZINFRA.NS,A2Z Infra Engineering Limited,1,18-06-2025,24.74,24.74,57.5,39.55,0.09,0.6104,High,High,23.74% – 24.74%,25.74% – 27.74%,28.74% – 32.74%
TEXMOPIPES.NS,Texmo Pipes and Products Limited,1,18-06-2025,24.71,24.71,43.91,10.54,-0.07,0.3391,Medium,High,23.71% – 24.71%,25.71% – 27.71%,28.71% – 32.71%
SHIVAMILLS.NS,Shiva Mills Limited,1,18-06-2025,24.64,24.64,42.7,,0.01,,Unknown,High,23.64% – 24.64%,25.64% – 27.64%,28.64% – 32.64%
MOREPENLAB.NS,Morepen Laboratories Limited,1,18-06-2025,24.25,24.25,56.36,28.49,0.79,0.5726,Medium,High,23.25% – 24.25%,25.25% – 27.25%,28.25% – 32.25%
COLPAL.NS,Colgate-Palmolive (India) Limited,1,18-06-2025,23.99,23.99,24.69,45.43,0.33,0.4078,Medium,Medium,22.99% – 23.99%,24.99% – 26.99%,27.99% – 31.99%
GSPL.NS,Gujarat State Petronet Limited,1,18-06-2025,23.95,23.95,32.51,16.44,0.41,0.2374,Low,High,22.95% – 23.95%,24.95% – 26.95%,27.95% – 31.95%
SANGHIIND.NS,Sanghi Industries Limited,1,18-06-2025,23.88,23.88,32.48,,0.35,,Unknown,High,22.88% – 23.88%,24.88% – 26.88%,27.88% – 31.88%
SMARTLINK.NS,Smartlink Holdings Limited,1,18-06-2025,23.86,23.86,46.04,24.2,0.29,0.4393,Medium,High,22.86% – 23.86%,24.86% – 26.86%,27.86% – 31.86%
SHREECEM.NS,Shree Cement Limited,1,18-06-2025,23.86,23.86,21.78,94.24,0.16,0.4178,Medium,Medium,22.86% – 23.86%,24.86% – 26.86%,27.86% – 31.86%
DCAL.NS,Dishman Carbogen Amcis Limited,1,18-06-2025,23.75,23.75,59.76,1245,0.58,0.7158,High,High,22.75% – 23.75%,24.75% – 26.75%,27.75% – 31.75%
PGHL.NS,Procter & Gamble Health Limited,1,18-06-2025,23.65,23.65,25.41,53.66,0.42,0.4541,Medium,Medium,22.65% – 23.65%,24.65% – 26.65%,27.65% – 31.65%
IFBIND.NS,IFB Industries Limited,1,18-06-2025,23.63,23.63,52.3,53.46,0.25,0.7,High,High,22.63% – 23.63%,24.63% – 26.63%,27.63% – 31.63%
HIRECT.NS,Hind Rectifiers Limited,1,18-06-2025,23.55,23.55,57.33,59.43,-0.05,0.7,High,High,22.55% – 23.55%,24.55% – 26.55%,27.55% – 31.55%
SUNDARMHLD.NS,Sundaram Finance Holdings Limited,1,18-06-2025,23.52,23.52,49.62,17.95,0.14,0.4215,Medium,High,22.52% – 23.52%,24.52% – 26.52%,27.52% – 31.52%
SUDARSCHEM.NS,Sudarshan Chemical Industries Limited,1,18-06-2025,23.1,23.1,45.88,74.09,0.38,0.6588,High,High,22.1% – 23.1%,24.1% – 26.1%,27.1% – 31.1%
TOTAL.NS,Total Transport Systems Limited,1,18-06-2025,23.04,23.04,46.26,15.39,-0.03,0.366,Medium,High,22.04% – 23.04%,24.04% – 26.04%,27.04% – 31.04%
RELIANCE.NS,Reliance Industries Limited,1,18-06-2025,23.04,23.04,21.52,27.77,0.33,0.2247,Low,Medium,22.04% – 23.04%,24.04% – 26.04%,27.04% – 31.04%
3PLAND.NS,3P Land Holdings Ltd,1,18-06-2025,22.71,22.71,65.09,,,,Unknown,High,21.71% – 22.71%,23.71% – 25.71%,26.71% – 30.71%
TCI.NS,Transport Corporation of India Limited,1,18-06-2025,22.48,22.48,35.74,21.05,0.02,0.3092,Medium,High,21.48% – 22.48%,23.48% – 25.48%,26.48% – 30.48%
OAL.NS,Oriental Aromatics Limited,1,18-06-2025,22.43,22.43,56.64,38.04,0.94,0.6855,High,High,21.43% – 22.43%,23.43% – 25.43%,26.43% – 30.43%
PRESTIGE.NS,Prestige Estates Projects Limited,1,18-06-2025,22.42,22.42,42.67,152.03,0.1,0.6267,High,High,21.42% – 22.42%,23.42% – 25.42%,26.42% – 30.42%
SPAL.NS,S.P. Apparels Limited,1,18-06-2025,22.4,22.4,60.22,21.95,-0.17,0.4595,Medium,High,21.4% – 22.4%,23.4% – 25.4%,26.4% – 30.4%
ZENSARTECH.NS,Zensar Technologies Limited,1,18-06-2025,22.3,22.3,41.85,30.34,0.59,0.4674,Medium,High,21.3% – 22.3%,23.3% – 25.3%,26.3% – 30.3%
RAIN.NS,Rain Industries Limited,1,18-06-2025,21.98,21.98,35.49,,0.7,,Unknown,High,20.98% – 21.98%,22.98% – 24.98%,25.98% – 29.98%
UNOMINDA.NS,Uno Minda Limited,1,18-06-2025,21.84,21.84,39.51,64.52,0.41,0.5951,Medium,High,20.84% – 21.84%,22.84% – 24.84%,25.84% – 29.84%
MUTHOOTCAP.NS,Muthoot Capital Services Limited,1,18-06-2025,21.79,21.79,40.61,10.51,-0.18,0.3061,Medium,High,20.79% – 21.79%,22.79% – 24.79%,25.79% – 29.79%
PHOENIXLTD.NS,The Phoenix Mills Limited,1,18-06-2025,21.69,21.69,43.11,58.01,0.41,0.6311,High,High,20.69% – 21.69%,22.69% – 24.69%,25.69% – 29.69%
PNCINFRA.NS,PNC Infratech Limited,1,18-06-2025,21.69,21.69,42.94,9.44,0.31,0.4794,Medium,High,20.69% – 21.69%,22.69% – 24.69%,25.69% – 29.69%
MHRIL.NS,Mahindra Holidays & Resorts India Limited,1,18-06-2025,21.58,21.58,34.05,53.86,-0.2,0.5405,Medium,High,20.58% – 21.58%,22.58% – 24.58%,25.58% – 29.58%
HERCULES.NS,Hercules Hoists Limited,1,18-06-2025,21.56,21.56,94.12,108.62,0.11,0.7,High,High,20.56% – 21.56%,22.56% – 24.56%,25.56% – 29.56%
LOTUSEYE.NS,Lotus Eye Hospital and Institute Limited,1,18-06-2025,21.56,21.56,47.98,199.58,0.31,0.6798,High,High,20.56% – 21.56%,22.56% – 24.56%,25.56% – 29.56%
GLOBAL.NS,Global Education Limited,1,18-06-2025,21.48,21.48,53.36,11.23,-0.66,0.4,Medium,High,20.48% – 21.48%,22.48% – 24.48%,25.48% – 29.48%
PRIMESECU.NS,Prime Securities Limited,1,18-06-2025,21.42,21.42,46.24,23.37,-0.15,0.4341,Medium,High,20.42% – 21.42%,22.42% – 24.42%,25.42% – 29.42%
FCL.NS,Fineotex Chemical Limited,1,18-06-2025,21.34,21.34,43.01,28.47,0.38,0.4455,Medium,High,20.34% – 21.34%,22.34% – 24.34%,25.34% – 29.34%
TATAPOWER.NS,Tata Power Company Limited,1,18-06-2025,21.31,21.31,29.53,31.65,0.61,0.3601,Medium,Medium,20.31% – 21.31%,22.31% – 24.31%,25.31% – 29.31%
NUCLEUS.NS,Nucleus Software Exports Limited,1,18-06-2025,21.29,21.29,50.95,19.26,-0.11,0.4365,Medium,High,20.29% – 21.29%,22.29% – 24.29%,25.29% – 29.29%
KIOCL.NS,KIOCL Limited,1,18-06-2025,21.1,21.1,52.8,,0.69,,Unknown,High,20.1% – 21.1%,22.1% – 24.1%,25.1% – 29.1%
OSIAHYPER.NS,Osia Hyper Retail Limited,1,18-06-2025,21.05,21.05,44.51,14.25,-0.35,0.3451,Medium,High,20.05% – 21.05%,22.05% – 24.05%,25.05% – 29.05%
ALKALI.NS,Alkali Metals Limited,1,18-06-2025,20.92,20.92,51.4,,0.03,,Unknown,High,19.92% – 20.92%,21.92% – 23.92%,24.92% – 28.92%
HEXATRADEX.NS,Hexa Tradex Limited,1,18-06-2025,20.86,20.86,54.74,,0.39,,Unknown,High,19.86% – 20.86%,21.86% – 23.86%,24.86% – 28.86%
PANACHE.NS,Panache Digilife Limited,1,18-06-2025,20.83,20.83,44.81,47.83,-0.11,0.6295,High,High,19.83% – 20.83%,21.83% – 23.83%,24.83% – 28.83%
GREENPANEL.NS,Greenpanel Industries Limited,1,18-06-2025,20.64,20.64,39.91,44.29,0.77,0.6039,High,High,19.64% – 20.64%,21.64% – 23.64%,24.64% – 28.64%
KUANTUM.NS,Kuantum Papers Limited,1,18-06-2025,20.62,20.62,38.73,8.6,-0.17,0.4373,Medium,High,19.62% – 20.62%,21.62% – 23.62%,24.62% – 28.62%
AHLADA.NS,Ahlada Engineers Limited,1,18-06-2025,20.49,20.49,47.31,8.04,0.69,0.5619,Medium,High,19.49% – 20.49%,21.49% – 23.49%,24.49% – 28.49%
GENUSPAPER.NS,Genus Paper & Boards Limited,1,18-06-2025,20.34,20.34,46.52,173.73,-0.22,0.6652,High,High,19.34% – 20.34%,21.34% – 23.34%,24.34% – 28.34%
DNAMEDIA.NS,Diligent Media Corporation Limited,1,18-06-2025,20.32,20.32,59.63,4.39,-0.75,0.55,Medium,High,19.32% – 20.32%,21.32% – 23.32%,24.32% – 28.32%
UTIAMC.NS,UTI Asset Management Company Limited,1,18-06-2025,20.12,20.12,40.78,22.11,0.57,0.3825,Medium,High,19.12% – 20.12%,21.12% – 23.12%,24.12% – 28.12%
CAPTRUST.NS,Capital Trust Limited,1,18-06-2025,20.03,20.03,64.84,124.73,0.54,0.7078,High,High,19.03% – 20.03%,21.03% – 23.03%,24.03% – 28.03%
HCL-INSYS.NS,HCL Infosystems Limited,1,18-06-2025,20.03,20.03,51.87,,0.41,,Unknown,High,19.03% – 20.03%,21.03% – 23.03%,24.03% – 28.03%
LOVABLE.NS,Lovable Lingerie Limited,1,18-06-2025,19.86,19.86,46.32,80.4,0.48,0.6632,High,High,18.86% – 19.86%,20.86% – 22.86%,23.86% – 27.86%
BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited,1,18-06-2025,19.83,19.83,47.14,39.52,0.24,0.5816,Medium,High,18.83% – 19.83%,20.83% – 22.83%,23.83% – 27.83%
VENKEYS.NS,Venky's (India) Limited,1,18-06-2025,19.8,19.8,38.84,19.58,0.42,0.3277,Medium,High,18.8% – 19.8%,20.8% – 22.8%,23.8% – 27.8%
ESSENTIA.NS,Integra Essentia Limited,1,18-06-2025,19.63,19.63,47.32,55.75,1.35,0.8434,High,High,18.63% – 19.63%,20.63% – 22.63%,23.63% – 27.63%
ACCELYA.NS,Accelya Solutions India Limited,1,18-06-2025,19.36,19.36,29.92,16.7,0.41,0.2137,Low,Medium,18.36% – 19.36%,20.36% – 22.36%,23.36% – 27.36%
SURYALAXMI.NS,Suryalakshmi Cotton Mills Limited,1,18-06-2025,19.18,19.18,56.54,36.54,0.64,0.6126,High,High,18.18% – 19.18%,20.18% – 22.18%,23.18% – 27.18%
PALASHSECU.NS,Palash Securities Limited,1,18-06-2025,19.09,19.09,54.65,,0.07,,Unknown,High,18.09% – 19.09%,20.09% – 22.09%,23.09% – 27.09%
ORBTEXP.NS,Orbit Exports Limited,1,18-06-2025,18.9,18.9,55.65,11.75,-0.5,0.4,Medium,High,17.9% – 18.9%,19.9% – 21.9%,22.9% – 26.9%
ACC.NS,ACC Limited,1,18-06-2025,18.88,18.88,23.97,14.43,0.06,0.1397,Low,Medium,17.88% – 18.88%,19.88% – 21.88%,22.88% – 26.88%
IGARASHI.NS,Igarashi Motors India Limited,1,18-06-2025,18.68,18.68,49.9,61.84,0.15,0.699,High,High,17.68% – 18.68%,19.68% – 21.68%,22.68% – 26.68%
SANGHVIMOV.NS,Sanghvi Movers Limited,1,18-06-2025,18.64,18.64,57.88,15.86,1.13,0.5342,Medium,High,17.64% – 18.64%,19.64% – 21.64%,22.64% – 26.64%
VSTIND.NS,VST Industries Limited,1,18-06-2025,18.62,18.62,45.71,16.59,0.13,0.3707,Medium,High,17.62% – 18.62%,19.62% – 21.62%,22.62% – 26.62%
WESTLIFE.NS,Westlife Foodworld Limited,1,18-06-2025,18.61,18.61,35.16,908.18,0.29,0.5516,Medium,High,17.61% – 18.61%,19.61% – 21.61%,22.61% – 26.61%
AMBUJACEM.NS,Ambuja Cements Limited,1,18-06-2025,18.57,18.57,27.63,32.16,-0.07,0.3233,Medium,Medium,17.57% – 18.57%,19.57% – 21.57%,22.57% – 26.57%
HCG.NS,HealthCare Global Enterprises Limited,1,18-06-2025,18.34,18.34,34.51,172.3,-0.14,0.5451,Medium,High,17.34% – 18.34%,19.34% – 21.34%,22.34% – 26.34%
RUCHINFRA.NS,Ruchi Infrastructure Limited,1,18-06-2025,18.07,18.07,57.33,111.29,-0.45,0.7,High,High,17.07% – 18.07%,19.07% – 21.07%,22.07% – 26.07%
KABRAEXTRU.NS,Kabra Extrusiontechnik Limited,1,18-06-2025,17.88,17.88,49.93,30.28,0.47,0.5303,Medium,High,16.88% – 17.88%,18.88% – 20.88%,21.88% – 25.88%
BIRLACORPN.NS,Birla Corporation Limited,1,18-06-2025,17.85,17.85,36.87,34.6,0.27,0.4367,Medium,High,16.85% – 17.85%,18.85% – 20.85%,21.85% – 25.85%
BALKRISHNA.NS,Balkrishna Paper Mills Limited,1,18-06-2025,17.76,17.76,44.81,,-0.31,,Unknown,High,16.76% – 17.76%,18.76% – 20.76%,21.76% – 25.76%
ZUARI.NS,Zuari Agro Chemicals Limited,1,18-06-2025,17.68,17.68,45.41,5.36,-0.37,0.5041,Medium,High,16.68% – 17.68%,18.68% – 20.68%,21.68% – 25.68%
APTECHT.NS,Aptech Limited,1,18-06-2025,17.61,17.61,52.75,46.23,0.26,0.6677,High,High,16.61% – 17.61%,18.61% – 20.61%,21.61% – 25.61%
UFO.NS,UFO Moviez India Limited,1,18-06-2025,17.48,17.48,49.11,28.86,-0.44,0.5098,Medium,High,16.48% – 17.48%,18.48% – 20.48%,21.48% – 25.48%
FINPIPE.NS,Finolex Industries Limited,1,18-06-2025,17.48,17.48,37.35,17.77,0.52,0.3009,Medium,High,16.48% – 17.48%,18.48% – 20.48%,21.48% – 25.48%
VRLLOG.NS,VRL Logistics Limited,1,18-06-2025,17.23,17.23,35.19,inf,-0.03,0.5519,Medium,High,16.23% – 17.23%,18.23% – 20.23%,21.23% – 25.23%
PANAMAPET.NS,Panama Petrochem Limited,1,18-06-2025,17.09,17.09,37.24,11.94,0.89,0.3506,Medium,High,16.09% – 17.09%,18.09% – 20.09%,21.09% – 25.09%
SHARDAMOTR.NS,Sharda Motor Industries Limited,1,18-06-2025,17.07,17.07,51.12,17.17,0.93,0.5038,Medium,High,16.07% – 17.07%,18.07% – 20.07%,21.07% – 25.07%
FORTIS.NS,Fortis Healthcare Limited,1,18-06-2025,16.99,16.99,33.34,74.26,0.61,0.556,Medium,High,15.99% – 16.99%,17.99% – 19.99%,20.99% – 24.99%
SUPERHOUSE.NS,Superhouse Limited,1,18-06-2025,16.63,16.63,37.74,17.19,0.27,0.2962,Low,High,15.63% – 16.63%,17.63% – 19.63%,20.63% – 24.63%
DCBBANK.NS,DCB Bank Limited,1,18-06-2025,16.44,16.44,29.86,7.34,0.57,0.3618,Medium,Medium,15.44% – 16.44%,17.44% – 19.44%,20.44% – 24.44%
CYBERMEDIA.NS,Cyber Media (India) Limited,1,18-06-2025,16.41,16.41,60.18,,-0.22,,Unknown,High,15.41% – 16.41%,17.41% – 19.41%,20.41% – 24.41%
NEULANDLAB.NS,Neuland Laboratories Limited,1,18-06-2025,16.37,16.37,57.79,60.92,0.22,0.7,High,High,15.37% – 16.37%,17.37% – 19.37%,20.37% – 24.37%
AAVAS.NS,Aavas Financiers Limited,1,18-06-2025,16.36,16.36,27.73,25.32,0.36,0.2657,Low,Medium,15.36% – 16.36%,17.36% – 19.36%,20.36% – 24.36%
ANSALAPI.NS,Ansal Properties & Infrastructure Limited,1,18-06-2025,16.32,16.32,44.47,,0.12,,Unknown,High,15.32% – 16.32%,17.32% – 19.32%,20.32% – 24.32%
ISFT.NS,IntraSoft Technologies Limited,1,18-06-2025,16.01,16.01,48.27,14.14,0.19,0.3827,Medium,High,15.01% – 16.01%,17.01% – 19.01%,20.01% – 24.01%
DABUR.NS,Dabur India Limited,1,18-06-2025,15.97,15.97,21.46,46.97,0.28,0.3886,Medium,Medium,14.97% – 15.97%,16.97% – 18.97%,19.97% – 23.97%
ARIHANTSUP.NS,Arihant Superstructures Limited,1,18-06-2025,15.89,15.89,44.9,37.6,0.55,0.5523,Medium,High,14.89% – 15.89%,16.89% – 18.89%,19.89% – 23.89%
SUNTECK.NS,Sunteck Realty Limited,1,18-06-2025,15.7,15.7,40.14,43.34,0.45,0.5443,Medium,High,14.7% – 15.7%,16.7% – 18.7%,19.7% – 23.7%
PTC.NS,PTC India Limited,1,18-06-2025,15.65,15.65,36.02,6.63,0.83,0.476,Medium,High,14.65% – 15.65%,16.65% – 18.65%,19.65% – 23.65%
GULPOLY.NS,Gulshan Polyols Limited,1,18-06-2025,15.63,15.63,54.62,45.26,0.39,0.6594,High,High,14.63% – 15.63%,16.63% – 18.63%,19.63% – 23.63%
KIRLOSBROS.NS,Kirloskar Brothers Limited,1,18-06-2025,15.56,15.56,51.8,34.91,0.17,0.5706,Medium,High,14.56% – 15.56%,16.56% – 18.56%,19.56% – 23.56%
SHEMAROO.NS,Shemaroo Entertainment Limited,1,18-06-2025,15.52,15.52,54.69,,-0.2,,Unknown,High,14.52% – 15.52%,16.52% – 18.52%,19.52% – 23.52%
ADROITINFO.NS,Adroit Infotech Limited,1,18-06-2025,15.5,15.5,54.8,78.93,-0.36,0.7,High,High,14.5% – 15.5%,16.5% – 18.5%,19.5% – 23.5%
STYRENIX.NS,Styrenix Performance Materials Limited,1,18-06-2025,15.41,15.41,37.82,24.99,0.56,0.376,Medium,High,14.41% – 15.41%,16.41% – 18.41%,19.41% – 23.41%
SANGINITA.NS,Sanginita Chemicals Limited,1,18-06-2025,15.39,15.39,49.89,,-0.66,,Unknown,High,14.39% – 15.39%,16.39% – 18.39%,19.39% – 23.39%
AMRUTANJAN.NS,Amrutanjan Health Care Limited,1,18-06-2025,15.34,15.34,31.66,40.82,,,Unknown,High,14.34% – 15.34%,16.34% – 18.34%,19.34% – 23.34%
BANCOINDIA.NS,Banco Products (India) Limited,1,18-06-2025,15.33,15.33,64.15,21.41,0.73,0.5017,Medium,High,14.33% – 15.33%,16.33% – 18.33%,19.33% – 23.33%
SIS.NS,SIS Limited,1,18-06-2025,15.18,15.18,28.58,456.79,0.1,0.4858,Medium,Medium,14.18% – 15.18%,16.18% – 18.18%,19.18% – 23.18%
IL&FSENGG.NS,IL&FS Engineering and Construction Company Limited,1,18-06-2025,14.83,14.83,44.98,,-0.12,,Unknown,High,13.83% – 14.83%,15.83% – 17.83%,18.83% – 22.83%
GENUSPOWER.NS,Genus Power Infrastructures Limited,1,18-06-2025,14.82,14.82,48.89,32.79,-0.03,0.5414,Medium,High,13.82% – 14.82%,15.82% – 17.82%,18.82% – 22.82%
HDFCBANK.NS,HDFC Bank Limited,1,18-06-2025,14.75,14.75,19.43,20.92,0.57,0.1592,Low,Medium,13.75% – 14.75%,15.75% – 17.75%,18.75% – 22.75%
GRANULES.NS,Granules India Limited,1,18-06-2025,14.65,14.65,41.83,23.73,0.13,0.3932,Medium,High,13.65% – 14.65%,15.65% – 17.65%,18.65% – 22.65%
RAJTV.NS,Raj Television Network Limited,1,18-06-2025,14.56,14.56,46.28,,-0.15,,Unknown,High,13.56% – 14.56%,15.56% – 17.56%,18.56% – 22.56%
SBIN.NS,State Bank of India,1,18-06-2025,14.5,14.5,22.46,9.1,0.52,0.2788,Low,Medium,13.5% – 14.5%,15.5% – 17.5%,18.5% – 22.5%
INDOCO.NS,Indoco Remedies Limited,1,18-06-2025,14.3,14.3,42.92,,0.39,,Unknown,High,13.3% – 14.3%,15.3% – 17.3%,18.3% – 22.3%
JMA.NS,Jullundur Motor Agency (Delhi) Limited,1,18-06-2025,14.29,14.29,42.38,8.4,-0.06,0.4738,Medium,High,13.29% – 14.29%,15.29% – 17.29%,18.29% – 22.29%
